energy_link_1,time,energy_link_2,energy_link_3,energy_link_4,energy_link_5,energy_link_6
9.351624548318987e-06,130.41280000208218,0.0005018835115172555,0.0002632650856178235,0.00041707411112082714,0.0005438161441995195,5.5816168743977656e-05
8.796140246252329e-06,130.4228000020825,0.00047260665074407677,0.00024794029604475337,0.00039254821316665956,0.0005117734975606583,5.252748342135719e-05
8.27784064312089e-06,130.43280000208284,0.00044524388768404824,0.0002336151803398765,0.0003696433374015983,0.000481854141831479,4.9456712436596e-05
7.804651805245198e-06,130.44280000208315,0.00042022294662320424,0.00022051515362462768,0.0003487149529661968,0.0004545212096381084,4.665139174517572e-05
7.327804897789437e-06,130.4528000020835,0.0003949689684177525,0.0002072874087198672,0.0003276032701714219,0.0004269539296186339,4.3822008935865375e-05
6.894702663842445e-06,130.46280000208384,0.00037199599817138454,0.00019525380253118408,0.00030841316958229585,0.00040189997162754415,4.125057604513465e-05
6.4872066243955955e-06,130.47280000208417,0.00035034935247972506,0.00018391301409271673,0.000290342831312528,0.0003783117618534687,3.882957503169578e-05
6.102424391856699e-06,130.4828000020845,0.00032987985028677864,0.0001731870198735769,0.00027326594452517397,0.0003560238966036727,3.654203032418245e-05
5.743341496389129e-06,130.49280000208483,0.0003107508968949059,0.00016316211976170653,0.0002573175159082197,0.00033521199669838054,3.440596815033551e-05
5.404137062353907e-06,130.50280000208517,0.00029265654622153233,0.0001536778058296362,0.0002422405458886982,0.0003155402314676878,3.238692057692796e-05
5.083705200991232e-06,130.5128000020855,0.00027554120920544146,0.0001447051662965077,0.0002279874814202973,0.00029694614736878056,3.0478478260924033e-05
4.794605187428932e-06,130.52280000208583,0.00026008014822716084,0.00013659959039582633,0.00021512007742348035,0.00028016196644623165,2.8755795846288222e-05
4.5114194850422805e-06,130.53280000208616,0.00024491709436327505,0.00012864815246280893,0.0002025065081788778,0.00026371115358178154,2.7067325238355846e-05
4.236053198007882e-06,130.5428000020865,0.00023015479229014288,0.00012090507921247444,0.00019023226015551844,0.0002477050877147751,2.5424498416748316e-05
3.986947881830434e-06,130.55280000208683,0.0002167844341682551,0.00011389186213741209,0.00017912188886290274,0.00023321859240653346,2.3937634181079153e-05
3.750028220977163e-06,130.56280000208716,0.00020405374907382095,0.00010721309811940933,0.0001685481606509074,0.0002194335402573147,2.2522761686573988e-05
3.537055949595742e-06,130.5728000020875,0.00019259758638357334,0.00010120289928857863,0.00015903815253045348,0.00020703667173297313,2.1250367771488835e-05
3.3283617465141966e-06,130.58280000208782,0.00018135990971545045,9.53059728981664e-05,0.00014971318242442888,0.00019488245092822774,2.0002876155832973e-05
3.1254154520333527e-06,130.59280000208815,0.00017042037644926186,8.956435139662973e-05,0.00014063935382710688,0.00018305695973931812,1.8789122377428716e-05
2.9411585597938156e-06,130.6028000020885,0.00016047807286684486,8.43459204585089e-05,0.00013239680667214421,0.00017231601484755723,1.768668331284541e-05
2.7671038637430456e-06,130.61280000208882,0.00015107718715015253,7.941104634281204e-05,0.00012460637992259537,0.0001621653167769814,1.6644824724320177e-05
2.610203624761966e-06,130.62280000208915,0.00014259496276369655,7.49583290646172e-05,0.00011758049166964369,0.00015301169066373195,1.5705303388048414e-05
2.451173241472708e-06,130.63280000208948,0.0001339898868542721,7.043991544353412e-05,0.00011045496476713152,0.00014372922637951118,1.4752556272859803e-05
2.3061729159024278e-06,130.6428000020898,0.00012613686890626188,6.631621618834875e-05,0.00010395501933613128,0.0001352625318699196,1.3883538070912739e-05
2.175343875611995e-06,130.65280000209015,0.00011904539028772812,6.259233938437842e-05,9.808785148651363e-05,0.000127620761862384,1.3099188792549617e-05
2.047148718533972e-06,130.66280000209048,0.00011209103255959775,5.8939805982131404e-05,9.23358934695281e-05,0.00012012974426448656,1.2330311416531973e-05
1.9337816659965443e-06,130.6728000020908,0.00010593624967423925,5.570728901053801e-05,8.724736359994006e-05,0.00011350327791079523,1.1650170758183232e-05
1.813018413310037e-06,130.68280000209114,9.937481487683378e-05,5.226009180551557e-05,8.182374550606699e-05,0.00010644111906632706,1.0925309171716922e-05
1.7021680689015624e-06,130.69280000209147,9.334718932718857e-05,4.909318293189955e-05,7.684323708826517e-05,9.995649441030086e-05,1.0259724959493109e-05
1.6019151748139282e-06,130.7028000020918,8.789168613160803e-05,4.6226797701356434e-05,7.23371362878533e-05,9.409002159872459e-05,9.657587370299098e-06
1.5076730147027044e-06,130.71280000209214,8.275957490659565e-05,4.3530091924768245e-05,6.809948512535714e-05,8.857348005196746e-05,9.091366166374528e-06
1.4192965486504047e-06,130.72280000209247,7.794358016230596e-05,4.099929127084095e-05,6.412406000621878e-05,8.339869342062726e-05,8.560222250586229e-06
1.3385533889132604e-06,130.7328000020928,7.354066505377112e-05,3.8685480614842615e-05,6.049075497201347e-05,7.86695761081766e-05,8.074821649250678e-06
1.2597571120816384e-06,130.74280000209313,6.924117398787189e-05,3.6425712943267205e-05,5.694365836986311e-05,7.405300322198484e-05,7.600972089583103e-06
1.1831395420444635e-06,130.7528000020935,6.505787765769036e-05,3.422674064231171e-05,5.349329317576917e-05,6.956265342379906e-05,7.140077604974034e-06
1.1134885551640403e-06,130.7628000020938,6.125258124769577e-05,3.2226411221685135e-05,5.0355646588784964e-05,6.547955228090654e-05,6.720983161199168e-06
1.0477511735211044e-06,130.77280000209413,5.7658939558338326e-05,3.0337193703513374e-05,4.739328717790667e-05,6.162481320145857e-05,6.32532764521531e-06
9.884483528770427e-07,130.78280000209446,5.441521138999183e-05,2.8631905716849807e-05,4.472012432983365e-05,5.8146598035706767e-05,5.968318732264017e-06
9.302731916935682e-07,130.7928000020948,5.1231441280070615e-05,2.6957931018776182e-05,4.20969007463647e-05,5.473357354505728e-05,5.618000689325477e-06
8.737124315035386e-07,130.80280000209513,4.813430960927755e-05,2.5329333310996615e-05,3.954561520938724e-05,5.1414354171419344e-05,5.2773105733529455e-06
8.223054448832456e-07,130.81280000209546,4.5317875837019514e-05,2.3848302873732963e-05,3.722615724525039e-05,4.8396915434098854e-05,4.96759545415721e-06
7.739187403214364e-07,130.8228000020958,4.266556191569059e-05,2.245348617799142e-05,3.504234247874931e-05,4.555609807459446e-05,4.6760087911579335e-06
7.282062879120905e-07,130.83280000209612,4.015858819349171e-05,2.1135013898913382e-05,3.2978636032101297e-05,4.287167179398338e-05,4.400474143451547e-06
6.869599190161791e-07,130.84280000209645,3.7895475828496914e-05,1.9944779269590917e-05,3.111610724322697e-05,4.044905482827984e-05,4.151811925314539e-06
